OBJECTID,PRO_COM,SEZ,TIPO_LOC,SEZ2011,SHAPE_AREA,SHAPE_LEN,POP_2010,ACE,mappa2,mappa2bis
48878,15146,5361,1,151460005361,9046.99762496,384.273433171,244,3,44,18.57
48920,15146,6075,1,151460006075,7736.39826136,369.360689358,54,3,5,9.8
48839,15146,5321,1,151460005321,26435.6953452,699.258435063,1,3,0,0
48848,15146,5330,1,151460005330,75411.6626685,1268.4892397,32,3,0,0
48849,15146,5331,1,151460005331,139670.067323,1985.54370911,0,3,0,0
48867,15146,5350,1,151460005350,3765.51539332,251.7877498,127,3,16,13.01
48873,15146,5356,1,151460005356,10062.1488787,416.318220717,338,3,27,8.28
48880,15146,5363,1,151460005363,21953.5743865,666.510564012,353,3,15,4.4
48910,15146,5465,1,151460005465,16561.4617842,510.921132812,27,3,0,0
48921,15146,5476,1,151460005476,22020.5169624,608.500804933,309,3,34,11.22
48922,15146,5477,1,151460005477,9172.88144852,462.562318723,55,3,10,21.74
54625,15146,5317,1,151460005317,8255.24056128,378.909373971,24,3,1,4.17
48832,15146,5313,1,151460005313,16425.646167,566.122363716,176,3,10,5.71
48837,15146,5319,1,151460005319,14856.0001728,504.542347404,191,3,7,4.64
48838,15146,5320,1,151460005320,16825.0317372,570.250699223,228,3,19,9.41
48856,15146,5338,1,151460005338,25659.9942418,753.158032158,25,3,1,4.17
48858,15146,5340,1,151460005340,16650.0587892,504.296916722,416,3,44,10.89
48861,15146,5343,1,151460005343,10235.1031243,568.768754372,438,3,39,10.54
48871,15146,5354,1,151460005354,8127.47755194,477.353031188,217,3,17,8.67
48913,15146,5468,1,151460005468,39892.1249808,825.217183294,0,3,0,0
48916,15146,5471,1,151460005471,4692.12218076,277.710937173,131,3,17,13.28
48834,15146,5315,1,151460005315,23128.4165622,828.885574404,396,3,13,3.44
48852,15146,5334,1,151460005334,9890.79677236,426.677789675,174,3,11,6.71
48853,15146,5335,1,151460005335,35153.380133,879.679707642,155,3,18,11.54
48855,15146,5337,1,151460005337,7598.86701808,409.128362361,20,3,3,15
48857,15146,5339,1,151460005339,5649.85190736,354.473788923,95,3,7,8.05
48866,15146,5349,1,151460005349,5963.45248584,310.19891175,108,3,22,18.8
48868,15146,5351,1,151460005351,14442.6298094,483.606116843,258,3,33,16.26
48874,15146,5357,1,151460005357,42538.974077,885.01396254,277,3,20,7.91
